D	Rack SKU	Rack position		
N/A	aux.02 aux.01	"5920
6002"		
201	net.ad_spc4_planar_qfab_ipr_1.01	5911		
151	net.ad_spc4_planar_qfab_t1_1.01	5708		
151	net.ad_spc4_planar_qfab_t1_1.01	5709		
151	net.ad_spc4_planar_qfab_t1_1.01	5710		
151	net.ad_spc4_planar_qfab_t1_1.01	5711		
151	net.ad_spc4_planar_qfab_t1_1.01	5712		
151	net.ad_spc4_planar_qfab_t1_1.01	5713		
151	net.ad_spc4_planar_qfab_t1_1.01	5714		
151	net.ad_spc4_planar_qfab_t1_1.01	5715		
152	net.ad_spc4_planar_qfab_t1_1.01	5807		
152	net.ad_spc4_planar_qfab_t1_1.01	5808		
152	net.ad_spc4_planar_qfab_t1_1.01	5809		
152	net.ad_spc4_planar_qfab_t1_1.01	5810		
152	net.ad_spc4_planar_qfab_t1_1.01	5811		
152	net.ad_spc4_planar_qfab_t1_1.01	5812		
152	net.ad_spc4_planar_qfab_t1_1.01	5813		
152	net.ad_spc4_planar_qfab_t1_1.01	5814		
153	net.ad_spc4_planar_qfab_t1_1.01	5907		
153	net.ad_spc4_planar_qfab_t1_1.01	5908		
153	net.ad_spc4_planar_qfab_t1_1.01	5909		
153	net.ad_spc4_planar_qfab_t1_1.01	5910		
153	net.ad_spc4_planar_qfab_t1_1.01	5912		
153	net.ad_spc4_planar_qfab_t1_1.01	5913		
153	net.ad_spc4_planar_qfab_t1_1.01	5914		
153	net.ad_spc4_planar_qfab_t1_1.01	5915		
154	net.ad_spc4_planar_qfab_t1_1.01	6007		
154	net.ad_spc4_planar_qfab_t1_1.01	6008		
154	net.ad_spc4_planar_qfab_t1_1.01	6009		
154	net.ad_spc4_planar_qfab_t1_1.01	6010		
154	net.ad_spc4_planar_qfab_t1_1.01	6011		
154	net.ad_spc4_planar_qfab_t1_1.01	6012		
154	net.ad_spc4_planar_qfab_t1_1.01	6013		
154	net.ad_spc4_planar_qfab_t1_1.01	6014		
1	net.ad_spc4_planar_qfab_t0_1.01	0309		
1	net.ad_spc4_planar_qfab_t0_1.01	0408		
1	GPU_GB300_NVL72_R.03	0101		
1	GPU_GB300_NVL72_R.03	0102		
1	GPU_GB300_NVL72_R.03	0103		
1	GPU_GB300_NVL72_R.03	0201		
1	GPU_GB300_NVL72_R.03	0202		
1	GPU_GB300_NVL72_R.03	0203		
1	GPU_GB300_NVL72_R.03	0204		
2	GPU_GB300_NVL72_R.03	0104		
2	GPU_GB300_NVL72_R.03	0105		
2	GPU_GB300_NVL72_R.03	0106		
2	GPU_GB300_NVL72_R.03	0107		
2	GPU_GB300_NVL72_R.03	0205		
2	GPU_GB300_NVL72_R.03	0206		
2	GPU_GB300_NVL72_R.03	0207		
2	net.ad_spc4_planar_qfab_t0_1.01	0312		
2	net.ad_spc4_planar_qfab_t0_1.01	0411		
3	GPU_GB300_NVL72_R.03	0502		
3	GPU_GB300_NVL72_R.03	0503		
3	GPU_GB300_NVL72_R.03	0504		
3	GPU_GB300_NVL72_R.03	0602		
3	GPU_GB300_NVL72_R.03	0603		
3	GPU_GB300_NVL72_R.03	0604		
3	GPU_GB300_NVL72_R.03	0605		
3	net.ad_spc4_planar_qfab_t0_1.01	0807		
3	net.ad_spc4_planar_qfab_t0_1.01	0907		
4	GPU_GB300_NVL72_R.03	0505		
4	GPU_GB300_NVL72_R.03	0506		
4	GPU_GB300_NVL72_R.03	0507		
4	GPU_GB300_NVL72_R.03	0508		
4	GPU_GB300_NVL72_R.03	0606		
4	GPU_GB300_NVL72_R.03	0607		
4	GPU_GB300_NVL72_R.03	0608		
4	net.ad_spc4_planar_qfab_t0_1.01	0812		
4	net.ad_spc4_planar_qfab_t0_1.01	0912		
5	net.ad_spc4_planar_qfab_t0_1.01	1010		
5	net.ad_spc4_planar_qfab_t0_1.01	1110		
5	GPU_GB300_NVL72_R.03	1302		
5	GPU_GB300_NVL72_R.03	1303		
5	GPU_GB300_NVL72_R.03	1304		
5	GPU_GB300_NVL72_R.03	1402		
5	GPU_GB300_NVL72_R.03	1403		
5	GPU_GB300_NVL72_R.03	1404		
5	GPU_GB300_NVL72_R.03	1405		
6	net.ad_spc4_planar_qfab_t0_1.01	1014		
6	net.ad_spc4_planar_qfab_t0_1.01	1114		
6	GPU_GB300_NVL72_R.03	1305		
6	GPU_GB300_NVL72_R.03	1306		
6	GPU_GB300_NVL72_R.03	1307		
6	GPU_GB300_NVL72_R.03	1308		
6	GPU_GB300_NVL72_R.03	1406		
6	GPU_GB300_NVL72_R.03	1407		
6	GPU_GB300_NVL72_R.03	1408		
7	GPU_GB300_NVL72_R.03	1502		
7	GPU_GB300_NVL72_R.03	1503		
7	GPU_GB300_NVL72_R.03	1504		
7	GPU_GB300_NVL72_R.03	1602		
7	GPU_GB300_NVL72_R.03	1603		
7	GPU_GB300_NVL72_R.03	1604		
7	GPU_GB300_NVL72_R.03	1605		
7	net.ad_spc4_planar_qfab_t0_1.01	1807		
7	net.ad_spc4_planar_qfab_t0_1.01	1907		
8	GPU_GB300_NVL72_R.03	1505		
8	GPU_GB300_NVL72_R.03	1506		
8	GPU_GB300_NVL72_R.03	1507		
8	GPU_GB300_NVL72_R.03	1508		
8	GPU_GB300_NVL72_R.03	1606		
8	GPU_GB300_NVL72_R.03	1607		
8	GPU_GB300_NVL72_R.03	1608		
8	net.ad_spc4_planar_qfab_t0_1.01	1812		
8	net.ad_spc4_planar_qfab_t0_1.01	1912		
9	net.ad_spc4_planar_qfab_t0_1.01	2010		
9	net.ad_spc4_planar_qfab_t0_1.01	2110		
9	GPU_GB300_NVL72_R.03	2302		
9	GPU_GB300_NVL72_R.03	2303		
9	GPU_GB300_NVL72_R.03	2304		
9	GPU_GB300_NVL72_R.03	2402		
9	GPU_GB300_NVL72_R.03	2403		
9	GPU_GB300_NVL72_R.03	2404		
